1;failed to unmarshal json input file {JsonFilePath}: {Err};Echec de la désérialisation du fichier d'entrée json {JsonFilePath} : {Err}
2;Incorrect node policy format in file {JsonFilePath}: {Err};Format de la règle du noeud incorrect dans le fichier {JsonFilePath} : {Err}
3;No pattern or node policy is specified. Will proceeed with the existing node policy.;Aucun pattern ou aucune règle de noeud spécifié(e). La règle de noeud existante sera utilisée.
4;Reading input file {InputFile}...;Lecture du fichier d'entrée {InputFile}...
5;hzn cli is configured with exchange url {ExchUrlBase} from {ExchangeUrlLocation} and the horizon agent is configured with exchange url {AnaxExchUrlBase} from {ExchangeUrlLocationFromAnax}. hzn register will not work with mismatched exchange urls.;L'interface de ligne de commande hzn est configurée avec l'URL Exchange {ExchUrlBase} à partir de {ExchangeUrlLocation}, et l'agent Horizon est configuré avec l'URL Exchange {AnaxExchUrlBase} à partir de {ExchangeUrlLocationFromAnax}. Le registre hzn n'est pas accessible si les adresses URL Exchange ne correspondent pas.
6;Horizon Exchange base URL: {ExchUrlBase};URL de base Horizon Exchange : {ExchUrlBase}
7;Failed to get proper response from the Horizon agent;Echec de l'obtention d'une réponse appropriée de la part de l'agent Horizon
8;Please specify the node id and token using -n flag or HZN_EXCHANGE_NODE_AUTH environment variable.;Veuillez indiquer l'ID de noeud et le jeton à l'aide de l'indicateur -n ou de la variable d'environnement HZN_EXCHANGE_NODE_AUTH.
9;Using node ID '{NodeId}' from the Horizon agent;Utilisation de l'ID de noeud '{NodeId}' à partir de l'agent Horizon
10;could not create a random token;Impossible de créer un jeton aléatoire
11;node '{Org}/{NodeId}' does not exist in the exchange with the specified token, and the -u flag was not specified to provide exchange user credentials to create/update it.;Le noeud '{Org}/{NodeId}' n'existe pas dans Exchange avec le jeton spécifié, et l'indicateur -u n'a pas été spécifié pour fournir les données d'identification utilisateur Exchange permettant de le créer/mettre à jour.
12;Node {Org}/{NodeId} does not exist in the exchange with the specified token, creating/updating it...;Le noeud {Org}/{NodeId} n'existe pas dans Exchange avec le jeton spécifié. Création/mise à jour en cours...
13;Node {Org}/{NodeId} exists in the exchange;Le noeud {Org}/{NodeId} existe dans Exchange
14;this Horizon node is already registered or in the process of being registered. If you want to register it differently, run 'hzn unregister' first.;Ce noeud Horizon est déjà enregistré ou en cours d'enregistrement. Si vous voulez l'enregistrer différemment, exécutez d'abord la commande 'hzn unregister'.
15;Registration failed because {Matches0} Please update the services section in the input file {InputFile}. Run 'hzn unregister' and then 'hzn register...' again;Echec de l'enregistrement, car {Matches0}. Veuillez mettre à jour la section des services dans le fichier d'entrée {InputFile}. Exécutez 'hzn unregister', puis 'hzn register...' à nouveau
16;{Errstring}. Please define variables for service {Matches2} in the input file {InputFile}. Run 'hzn unregister' and then 'hzn register...' again;{Errstring}. Veuillez définir les variables du service {Matches2} dans le fichier d'entrée {InputFile}. Exécutez 'hzn unregister', puis 'hzn register...' à nouveau
17;{Errstring}. Please create an input file, define variables for service {Matches2}. Run 'hzn unregister' and then 'hzn register...' again with the -f flag to specify the input file.;{Errstring}. Veuillez créer un fichier d'entrée, et définir les variables du service {Matches2}. Exécutez 'hzn unregister', puis 'hzn register...' à nouveau avec l'indicateur -f pour spécifier le fichier d'entrée.
18;-o and -p are mutually exclusive with <nodeorg> and <pattern> arguments.;-o et -p sont mutuellement exclusifs avec les arguments <nodeorg> et <pattern>.
19;--policy is mutually exclusive with -p.;--policy et -p s'excluent mutuellement.
20;--policy is mutually exclusive with <pattern> argument.;--policy et l'argument <pattern> sont mutuellement exclusifs.
21;Please specify the node organization id.;Veuillez spécifier l'ID d'organisation du noeud.
22;invalid version range '{Vr}': {Err};Plage de version non valide '{Vr}' : {Err}
23;unable to verify that {Version} is within {VRange}, error {Err};Impossible de vérifier que cette version {Version} est dans la plage {VRange}. Erreur {Err}
24;found no services in the exchange matching: org={Org}, url={Url}, arch={Arch};Aucun service trouvé dans la correspondance Exchange : org={Org}, url={Url}, arch={Arch}
25;error comparing version {ServiceshighestKey} with version {Version}. {Err};Erreur lors de la comparaison de la version {ServiceshighestKey} avec la version {Version}. {Err}
26;found no services in the exchange matched: org={Org}, specRef={Url}, version range={VersionRanges}, arch={Arch};Aucun service trouvé dans la correspondance Exchange : org={Org}, specRef={Url}, version range={VersionRanges}, arch={Arch}
27;found: {Org}, {Url}, {Arch}, {VersionRange};{Org}, {Url}, {Arch}, {VersionRange} trouvés
28;did not find pattern '{PatKey}' as expected;Impossible de trouver le pattern '{PatKey}' attendu
29;Ignoring service that is a different architecture: {ServiceOrg}, {ServiceURL}, {ServiceArch};Le service ayant une architecture différente est ignoré : {ServiceOrg}, {ServiceURL}, {ServiceArch}
30;failed to marshal the user input template file: {Err};Impossible de sérialiser le fichier modèle d'entrée utilisateur : {Err}
31;problem writing the user input template file: {Err};Problème lors de l'écriture du fichier modèle d'entrée utilisateur : {Err}
32;Wrote {InputFile};Ecriture de {InputFile}
33;Reading configuration file: {ConfigFile};Lecture du fichier de configuration : {ConfigFile}
34;Unable to read config file: {ConfigFile}. {Err};Impossible de lire le fichier de configuration : {ConfigFile}. {Err}
35;Unable to decode content of config file {ConfigFile}. {Err};Impossible de décoder le contenu du fichier de configuration {ConfigFile}. {Err}
36;Config file does not exist: {ConfigFile}.;Le fichier de configuration n'existe pas : {ConfigFile}.
37;Failed to set the environment variable defined in the MetadataVars attribute in file {ConfigFile}. {Err};Echec de la définition de la variable d'environnement spécifiée dans l'attribut MetadataVars du fichier {ConfigFile}. {Err}
38;Failed to set the environment variable in top level in file {ConfigFile}. {Err};Echec de la définition de la variable d'environnement de premier niveau dans le fichier {ConfigFile}. {Err}
39;Failed to set the environment variable defined in file {ConfigFile}. {Err};Echec de la définition de la variable d'environnement spécifiée dans le fichier {ConfigFile}. {Err}
40;Local configuration {LocalConfigFile} has been setup at the beginning of this command. Will not setup twice.;La configuration locale {LocalConfigFile} a été définie au début de cette commande. Elle ne sera pas exécutée une deuxième fois.
41;Failed to set the environment variable from the local configuration file {LocalConfigFile} for file {FilePath}. Error: {Err};Echec de la définition de la variable d'environnement à partir du fichier de configuration locale {LocalConfigFile} pour le fichier {FilePath}. Erreur : {Err}
42;Failed to restore the environment variable after using local configuration file {UseLocalConfig}. {Err};Echec de la restauration de la variable d'environnement après utilisation du fichier de configuration locale {UseLocalConfig}. {Err}
43;Failed to get the absolute path for file {ConfigFilepkg}. {Err};Echec de l'obtention du chemin d'accès absolu pour le fichier {ConfigFilepkg}. {Err}
44;Error reading environment variables from file {ConfigFilepkg}. {Err};Erreur lors de la lecture des variables d'environnement à partir du fichier {ConfigFilepkg}. {Err}
45;Error reading environment variables from file /etc/default/horizon. {Err};Erreur lors de la lecture des variables d'environnement à partir du fichier /etc/default/horizon. {Err}
46;Failed to get the absolute path for file ~/.hzn/hzn.json. {Err};Echec de l'obtention du chemin d'accès absolu pour le fichier ~/.hzn/hzn.json. {Err}
47;Error getting project level configuration file name. {Err};Erreur lors de l'obtention du nom de fichier de configuration au niveau du projet. {Err}
48;No project level configuration file found.;Aucun fichier de configuration trouvé au niveau du projet.
49;failed to marshal 'hzn status -l' output: {Err};Impossible de sérialiser la sortie 'hzn status -l' : {Err}
50;failed to marshal 'hzn status' output: {Err};Impossible de sérialiser la sortie 'hzn status' : {Err}
51;Version_Expression: Whitespace is not permitted in {Expr}.;Version_Expression : Les espaces blancs ne sont pas autorisés dans {Expr}.
52;Version_Expression: {Verstring} is not a valid version string.;Version_Expression : {Verstring} n'est pas une chaîne de version valide.
53;Version_Expression: {Verstring} does not begin with an inclusion or exclusion directive.;Version_Expression : {Verstring} ne commence pas par une directive d'inclusion ou d'exclusion.
54;Version_Expression: {Verstring} does not end with an inclusion or exclusion directive.;Version_Expression : {Verstring} ne se termine pas par une directive d'inclusion ou d'exclusion.
55;Version_Expression: Incorrect number of versions in expression: {Expr}.;Version_Expression : Nombre incorrect de versions dans l'expression : {Expr}.
56;Input version string {V1} or {V2} is not a valid single version string.;La chaîne de version d'entrée {V1} ou {V2} n'est pas une chaîne de version unique valide.
57;The selection string {V} is not valid.;La chaîne de sélection {V} n'est pas valide.
58;failed to marshal 'hzn eventlog list' output: {Err};Impossible de sérialiser la sortie 'hzn eventlog list' : {Err}
59;Are you sure you want to unregister this Horizon node?;Voulez-vous vraiment annuler l'enregistrement de ce noeud Horizon ?
